study_label,item_type,frame_tag,verbatim_quote,page,cited_work,note
Duong et al (2025),frame_use,SIG,"On one hand, the “signaling hypothesis” (Flammer, 2013; Klassen and McLaughlin, 1996; Krueger, 2015) implies that stronger firms indicate their relative strength and commitment to mitigate climate risk through better carbon risk management.",2,,"signaling hypothesis: carbon risk management signals strength, lowers credit spreads"
Duong et al (2025),counter,,"Unsubstantiated claims of risk management or window-dressing efforts by overzealous firms can be counterproductive as financial market participants may penalize any misleading claims about a company’s environmental commitment. Hence, claims of better carbon risk management by windowdressing firms can significantly increase credit spreads.",2,,greenwashing/window-dressing counter: penalized claims raise spreads
Duong et al (2025),mechanism_extra,,"The transition to lower-cost clean energy technology results in rapid obsolescence of the existing carbon-intensive assets, turning them into non-performing or financially stranded assets. The stranded assets can intensify sunk capital costs and induce bankruptcies, thereby resulting in a loss in firm value.",2,,"stranded-asset/collateral channel: obsolescence, sunk costs, bankruptcy"
Duong et al (2025),mechanism_extra,,"Firms with stranded or noninvestible assets may attract costly penalties (e.g., via a potential carbon tax, emission trading schemes, or cap-and-trade policies) and/ or regulations mandating early retirement of firms’ fossil fuel power plants, thereby, face the risk of being excluded from investor portfolios.",2,,carbon-pricing penalties plus investor-exclusion channel; author's own claim
Duong et al (2025),paris_policy,,"firms with better and proactive carbon risk management practices should be viewed more positively by external stakeholders and in a better position to mitigate their credit spread risk. As such, the impact of carbon risk management on CDS spreads should be more pronounced after the Paris Agreement.",8,,Paris amplification hypothesis: CRM effect on spreads stronger post-Paris
Duong et al (2025),paris_policy,,"Ex-ante, we expect that while SCAPs may increase CDS spreads for local firms (due to higher regulatory risk and compliance costs), the mitigating impact of carbon risk management on CDS spreads would become stronger in states that have adopted a SCAP.",12,,state climate plans: compliance cost burden raises spreads but strengthens CRM mitigation
Duong et al (2025),paris_policy,,A lenient carbon transition risk regime may dilute the impact of CRMS on CDS spreads.,10,,policy-reversal attenuation: lax climate regime dilutes CRM effect
Duong et al (2025),key_citation,,"Following the Merton (1974) framework, carbon emissions can affect the underlying credit risk in multiple ways. First, firms with disproportionately high CO2 emissions may be exposed to carbon pricing risk and other regulatory interventions to limit emissions, leading to higher operational costs and lower cash flows.",2,Merton (1974),structural credit-risk framework anchoring emissions-to-credit-risk argument
Duong et al (2025),key_citation,,"The effectiveness of carbon risk management on credit risk depends on the relative strength of two competing hypotheses (Flammer, 2021).",2,"Flammer, 2021",source of the competing signaling vs greenwashing framing
Duong et al (2025),key_citation,,"Seltzer et al. (2023) find that firms with lower environmental scores, higher carbon emissions or intensities tend to have lower credit ratings and higher bond yield spreads",3,Seltzer et al. (2023),"regulatory-risk anchor: environmental profile, ratings and bond spreads"
Duong et al (2025),status,,,,,"Journal of Corporate Finance empirical CDS study; theory sits in introduction and in policy-setting passages, no separate hypothesis section."
Ehlers et al (2021),frame_use,RISK,"Borrowers with higher carbon emissions are more likely to face higher costs, or even hard emission constraints, if corresponding regulations tighten.",9,,transition/regulatory risk raises borrower costs and default risk; authors' own frame
Ehlers et al (2021),frame_use,SIG,"The more informed investors and creditors are of the financial risks of climate change, the more they will reallocate from investments with high climate-related financial risks to more environmentally beneficial investments with lower risks.",2,,information channel: better-informed creditors reallocate away from climate risk
Ehlers et al (2021),mechanism_extra,,"Ultimately, costs related to carbon emissions are balanced against revenue, and firms with greater carbon emissions relative to revenue will find transition costs (such as carbon taxes) to be more burdensome.",2,,carbon-tax cost burden scaled by revenue; carbon intensity proxies severity
Ehlers et al (2021),mechanism_extra,,"Also, the nature of the risks from carbon emissions we emphasize is not necessarily the same as those related to stranded assets. Risks from carbon emissions are broader and therefore apply in principle to all industries.",11,,emissions channel broader than stranded-asset/collateral logic; applies to all industries
Ehlers et al (2021),paris_policy,,"We argue that the Paris Agreement struck in December 2015 was particularly relevant in this context, as it provided a strong and clear signal of potential tightening of carbon emission regulations.",9,,amplification: Paris as clear policy signal of tightening regulation
Ehlers et al (2021),paris_policy,,"Of course, the willingness and ability of policy makers to implement regulations to reach the emission targets specified in the Paris Agreement are subject to uncertainty.",9,,"attenuation: implementation uncertainty, possible policy retreat"
Ehlers et al (2021),counter,,"This suggests potential for “green-washing”: scope 1 emissions of a firm can be reduced by simply outsourcing carbon intensive activities (Ben-David et al (2021)), without reducing the firm’s broader carbon footprint.",3,,greenwashing: scope 1 cut by outsourcing without lowering true footprint
